"","Obs_Index","Behavior","Initiator_ID","Recipient_ID","Score","Notes","Initiator_Gender","Recipient_Gender","Initiator_Age_Group","Initiator_Age","Recipient_Age_Group","Recipient_Age","Initiator_Age_cut","Recipient_Age_cut","Initiator_To_Recipient","lumped_behavior","refined_behavior","y","init_id","recp_id","init_g","recp_g","init_age_z","recp_age_z"
"1055",136,"taking","423","449","1.0",NA,"F","F","child",6,"child",5,"(3,6]","(3,6]","Older","taking","taking_1.0",46,111,65,1,1,0.316159365229537,0.0173671613856132
"1056",136,"scolding","449","423","0.5","how shameful","F","F","child",5,"child",6,"(3,6]","(3,6]","Younger","scolding","scolding_0.5",38,58,92,1,1,-0.135496870812659,0.445694726556393
"1057",136,"tattling","449","423","0.5","second-party to third-party 465","F","F","child",5,"child",6,"(3,6]","(3,6]","Younger","tattling","tattling_0.5",47,58,92,1,1,-0.135496870812659,0.445694726556393
"1058",136,"ownership assertion","423","465","1.0",NA,"F","M","child",6,"child",6,"(3,6]","(3,6]","Same","ownership assertion","ownership assertion_1.0",22,111,89,1,0,0.316159365229537,0.445694726556393
"1059",136,"leading","465","449","1.0",NA,"M","F","child",6,"child",5,"(3,6]","(3,6]","Older","leading","leading_1.0",16,82,65,0,1,0.316159365229537,0.0173671613856132
"1060",136,"following","449","465","0.0",NA,"F","M","child",5,"child",6,"(3,6]","(3,6]","Younger","following_0.0","following_0.0",7,58,89,1,0,-0.135496870812659,0.445694726556393
"1061",136,"leading","465","423","0.5",NA,"M","F","child",6,"child",6,"(3,6]","(3,6]","Same","leading","leading_0.5",16,82,92,0,1,0.316159365229537,0.445694726556393
"1062",136,"following","423","465","0.0",NA,"F","M","child",6,"child",6,"(3,6]","(3,6]","Same","following_0.0","following_0.0",7,111,89,1,0,0.316159365229537,0.445694726556393
"1063",136,"scolding","432","423","1.0",NA,"F","F","child",7,"child",6,"(6,9]","(3,6]","Older","scolding","scolding_1.0",38,139,92,1,1,0.767815601271733,0.445694726556393
"1064",137,"tattling","145","49","1.0","third-party, several times, threatening","M","M","child",5,"child",6,"(3,6]","(3,6]","Younger","tattling","tattling_1.0",47,33,19,0,0,-0.135496870812659,0.445694726556393
"1066",137,"verbal aggression","145","49","1.0","still yelling","M","M","child",5,"child",6,"(3,6]","(3,6]","Younger","verbal aggression","verbal aggression_1.0",51,33,19,0,0,-0.135496870812659,0.445694726556393
"1071",137,"ownership assertion","145","49","1.0","pushed at each other","M","M","child",5,"child",6,"(3,6]","(3,6]","Younger","ownership assertion","ownership assertion_1.0",22,33,19,0,0,-0.135496870812659,0.445694726556393
"1072",137,"ownership acknowledgement","49","145","0.0",NA,"M","M","child",6,"child",5,"(3,6]","(3,6]","Older","ownership acknowledgement_0.0","ownership acknowledgement_0.0",21,18,35,0,0,0.316159365229537,0.0173671613856132
"1073",137,"ownership assertion","49","145","1.0",NA,"M","M","child",6,"child",5,"(3,6]","(3,6]","Older","ownership assertion","ownership assertion_1.0",22,18,35,0,0,0.316159365229537,0.0173671613856132
"1074",137,"physical aggression","49","145","1.0","looked very angry","M","M","child",6,"child",5,"(3,6]","(3,6]","Older","Z","physical aggression_1.0",52,18,35,0,0,0.316159365229537,0.0173671613856132
"1075",137,"physical aggression","145","49","1.0","several times","M","M","child",5,"child",6,"(3,6]","(3,6]","Younger","Z","physical aggression_1.0",52,33,19,0,0,-0.135496870812659,0.445694726556393
"1078",138,"leading","378","482","0.5",NA,"M","M","child",7,"child",8,"(6,9]","(6,9]","Younger","leading","leading_0.5",16,64,146,0,0,0.767815601271733,1.30234985689795
"1079",138,"following","482","378","0.5",NA,"M","M","child",8,"child",7,"(6,9]","(6,9]","Older","following","following_0.5",6,141,69,0,0,1.21947183731393,0.874022291727172
"1080",138,"dominating","378","482","1.0",NA,"M","M","child",7,"child",8,"(6,9]","(6,9]","Younger","dominating","dominating_1.0",5,64,146,0,0,0.767815601271733,1.30234985689795
"1081",138,"submitting","482","378","0.5",NA,"M","M","child",8,"child",7,"(6,9]","(6,9]","Older","submitting","submitting_0.5",42,141,69,0,0,1.21947183731393,0.874022291727172
"1083",138,"leading","378","337","0.5",NA,"M","M","child",7,"child",5,"(6,9]","(3,6]","Older","leading","leading_0.5",16,64,16,0,0,0.767815601271733,0.0173671613856132
"1084",138,"following","337","378","0.5",NA,"M","M","child",5,"child",7,"(3,6]","(6,9]","Younger","following","following_0.5",6,14,69,0,0,-0.135496870812659,0.874022291727172
"1085",138,"request for help","378","337","0.5",NA,"M","M","child",7,"child",5,"(6,9]","(3,6]","Older","request for help","request for help_0.5",33,64,16,0,0,0.767815601271733,0.0173671613856132
"1086",138,"helping","337","378","0.5",NA,"M","M","child",5,"child",7,"(3,6]","(6,9]","Younger","helping","helping_0.5",14,14,69,0,0,-0.135496870812659,0.874022291727172
"1087",138,"teasing","309","302","0.5",NA,"M","M","child",6,"child",3,"(3,6]","(0,3]","Older","teasing_0.5","teasing_0.5",49,142,111,0,0,0.316159365229537,-0.839287968955946
"1088",138,"verbal aggression","302","309","0.5","cursing","M","M","child",3,"child",6,"(0,3]","(3,6]","Younger","verbal aggression","verbal aggression_0.5",51,103,147,0,0,-1.03880934289705,0.445694726556393
"1089",138,"teasing","294","302","0.5",NA,"M","M","child",5,"child",3,"(3,6]","(0,3]","Older","teasing_0.5","teasing_0.5",49,10,111,0,0,-0.135496870812659,-0.839287968955946
"1090",138,"teasing","309","294","0.5",NA,"M","M","child",6,"child",5,"(3,6]","(3,6]","Older","teasing_0.5","teasing_0.5",49,142,10,0,0,0.316159365229537,0.0173671613856132
"1091",138,"command","308","309","0.5",NA,"F","M","child",9,"child",6,"(6,9]","(3,6]","Older","command","command_0.5",4,143,147,1,0,1.67112807335612,0.445694726556393
"1092",138,"obey","309","308","0.5",NA,"M","F","child",6,"child",9,"(3,6]","(6,9]","Younger","obey","obey_0.5",18,142,148,0,1,0.316159365229537,1.73067742206873
"1094",139,"support opinion","204","206","0.5",NA,"M","M","child",9,"child",5,"(6,9]","(3,6]","Older","support opinion","support opinion_0.5",44,35,5,0,0,1.67112807335612,0.0173671613856132
"1095",139,"leading","204","508","0.5",NA,"M","M","child",9,"child",5,"(6,9]","(3,6]","Older","leading","leading_0.5",16,35,40,0,0,1.67112807335612,0.0173671613856132
"1096",139,"following","508","204","0.5",NA,"M","M","child",5,"child",9,"(3,6]","(6,9]","Younger","following","following_0.5",6,36,38,0,0,-0.135496870812659,1.73067742206873
"1097",140,"scolding","470","432","0.5",NA,"F","F","child",6,"child",7,"(3,6]","(6,9]","Younger","scolding","scolding_0.5",38,99,149,1,1,0.316159365229537,0.874022291727172
"1098",142,"teasing","424","422","0.5",NA,"M","F","child",4,"child",8,"(3,6]","(6,9]","Younger","teasing_0.5","teasing_0.5",49,144,135,0,1,-0.587153106854854,1.30234985689795
"1099",142,"teasing","423","393","0.5",NA,"F","M","child",6,"child",2,"(3,6]","(0,3]","Older","teasing_0.5","teasing_0.5",49,111,50,1,0,0.316159365229537,-1.26761553412673
"1100",143,"helping","457","454","0.5",NA,"M","M","child",4,"child",9,"(3,6]","(6,9]","Younger","helping","helping_0.5",14,145,150,0,0,-0.587153106854854,1.73067742206873
"1101",143,"request for sharing","484","482","0.5",NA,"F","M","child",3,"child",8,"(0,3]","(6,9]","Younger","request for sharing","request for sharing_0.5",37,46,146,1,0,-1.03880934289705,1.30234985689795
"1102",143,"leading","482","370","0.5",NA,"M","M","child",8,"child",4,"(6,9]","(3,6]","Older","leading","leading_0.5",16,141,100,0,0,1.21947183731393,-0.410960403785166
