"","WAIC","SE","dWAIC","dSE","pWAIC","weight"
"mfit_ihF",32841.6368023688,133.126154594893,0,NA,996.878587865317,0.749305569883032
"mfit_iF",32843.8266265352,132.405131020954,2.18982416639483,12.9428351634933,937.175690654347,0.250694430116968
"mfit_i",33229.9332931011,127.291954169972,388.296490732297,52.5297777228566,1185.75156319133,3.60700984075074e-85
"mfit_ih",33239.6436439609,128.114243901004,398.006841592105,52.125801091504,1237.81390509908,2.80912735765613e-87
