"","mean","sd","2.5%","97.5%","n_eff","Rhat4","combined"
"z_recp_id[18,17]",0.10110141710306,0.991723145181319,-1.858796,2.045482,29400.488181563,0.999926577043687,"0.101 (0.992)"
"z_recp_id[18,18]",-0.1035119094546,0.978259328074224,-2.034978,1.81454225,27607.3749760496,0.999860583017713,"-0.104 (0.978)"
"z_recp_id[18,19]",-0.0289945748502,0.990097346101436,-1.9784345,1.89134275,31159.0181883504,0.999858646991223,"-0.029 (0.99)"
"z_recp_id[18,20]",-0.102035165514587,0.978652475745562,-1.99950075,1.82109175,28043.8569215182,0.99994777445614,"-0.102 (0.979)"
"z_recp_id[18,21]",0.0387563410554666,0.95826680196503,-1.85135525,1.9365335,28195.0835035374,0.999936826233151,"0.039 (0.958)"
"z_recp_id[18,22]",-0.156529726182693,0.98594928588327,-2.07118975,1.74649175,27592.6907376563,0.999823225666712,"-0.157 (0.986)"
"z_recp_id[18,23]",-0.0178912318312,0.983948874670175,-1.918642,1.89146925,28059.3387062597,1.00000103097865,"-0.018 (0.984)"
"z_recp_id[18,24]",-0.05938249932098,1.00920822626868,-2.03278175,1.9303695,30364.6689217524,0.999920213201674,"-0.059 (1.009)"
"z_recp_id[18,25]",-0.0459109592871333,0.998036165289793,-1.99537975,1.921268,28879.7385114672,0.999901764855852,"-0.046 (0.998)"
"z_recp_id[18,26]",-0.307036390327413,0.982377897673686,-2.2268465,1.60214325,24336.5496454751,0.999941598265463,"-0.307 (0.982)"
"z_recp_id[18,27]",-0.0152997566452333,0.964577510570341,-1.93291175,1.8940005,28509.0450011547,0.999930448860519,"-0.015 (0.965)"
"z_recp_id[18,28]",0.20932585216352,0.98002502266164,-1.72678075,2.10870575,27688.9247529193,0.999908277940676,"0.209 (0.98)"
"z_recp_id[18,29]",-0.0363114208126666,0.984602255327065,-1.95535425,1.8951435,27568.1142623757,0.999884192053963,"-0.036 (0.985)"
"z_recp_id[18,30]",9.83672838000147e-05,1.00108036855927,-1.97463625,1.995504,29831.6076939375,0.999844653918969,"0 (1.001)"
