"","mean","sd","2.5%","97.5%","n_eff","Rhat4","combined"
"a[1]",-1.68332142033333,0.360869026861039,-2.444893,-1.02976325,4433.00002003248,1.00019734017953,"-1.68 (0.36)"
"a[2]",1.672272434,0.125684704004281,1.423908,1.918655,3474.54348507444,1.00039564915961,"1.67 (0.13)"
"a[3]",1.13628585433333,0.126278698615715,0.889569175,1.38147375,3673.09587190017,1.00064501798767,"1.14 (0.13)"
"a[4]",2.45503541,0.114816342994627,2.2323795,2.67932025,3148.14927661184,1.00073408101091,"2.46 (0.11)"
"a[5]",-0.731980827646667,0.24476502566733,-1.247982,-0.292913175,3846.9590303117,1.00032998260843,"-0.73 (0.24)"
"a[6]",1.4261692694,0.12367343888991,1.181439,1.673257,3853.43949772281,1.00057260682971,"1.43 (0.12)"
"a[7]",0.555583406468667,0.171942494010904,0.2090285,0.8800657,5294.75755651086,1.00008333593355,"0.56 (0.17)"
"a[8]",-2.65702692733333,0.483327294338535,-3.66743125,-1.77569225,9924.50998478124,1.00038998853088,"-2.66 (0.48)"
"a[9]",0.0947386743845467,0.190071668037287,-0.295091975,0.4558637,5156.5316723311,1.00024218076994,"0.09 (0.19)"
"a[10]",1.04420270766667,0.125020464944,0.793700375,1.29111575,3936.98317480845,1.00049574008674,"1.04 (0.13)"
"a[11]",1.534757814,0.126094211708402,1.28427875,1.7800745,3611.45252812823,1.00050161210762,"1.53 (0.13)"
"a[12]",0.9196502822,0.135276923461739,0.6505169,1.1793125,4463.52670704386,1.00048867121849,"0.92 (0.14)"
"a[13]",0.184085057292813,0.176138485765294,-0.17924415,0.512963975,5070.35642024812,0.999972743708955,"0.18 (0.18)"
"a[14]",0.9655758904,0.128018871779487,0.7092096,1.21147175,4023.24996049897,1.00041912691382,"0.97 (0.13)"
"a[15]",0.768460049466667,0.147335708853483,0.471473275,1.04881275,4219.6856524858,1.0006157346613,"0.77 (0.15)"
"a[16]",1.16316466306667,0.127896787766682,0.91403905,1.412125,3927.48996668399,1.00055541497482,"1.16 (0.13)"
"a[17]",1.93396895933333,0.11623322072341,1.70665025,2.160994,3451.2039271956,1.00040810096596,"1.93 (0.12)"
"a[18]",0.7276690828,0.155481717292125,0.4097658,1.024912,4545.10924630345,1.0006724399441,"0.73 (0.16)"
"sigma_init_id[1]",0.610970630364667,0.261473328885174,0.077820605,1.1238815,1503.64429690924,1.00070756959416,"0.61 (0.26)"
"sigma_init_id[2]",0.440183226606667,0.0823522397667464,0.280006825,0.602020025,4646.05388627968,1.00025084185245,"0.44 (0.08)"
"sigma_init_id[3]",0.366340504780607,0.136997664100102,0.06094229,0.61211905,2432.11083743542,1.00006987493348,"0.37 (0.14)"
"sigma_init_id[4]",0.4573845206,0.0706471442213446,0.322922575,0.599938625,4319.59258982834,1.0005000748058,"0.46 (0.07)"
"sigma_init_id[5]",0.686441518896599,0.270138267312551,0.0780424675000001,1.18829175,2096.78205815441,1.00051773645401,"0.69 (0.27)"
"sigma_init_id[6]",0.4998175384,0.0931853549473479,0.3209341,0.685163,5007.29697822579,0.999947812133302,"0.5 (0.09)"
"sigma_init_id[7]",0.590931674933333,0.123086708647824,0.3539257,0.835045725,4421.22442117197,1.00065121299779,"0.59 (0.12)"
"sigma_init_id[8]",2.68418278,0.396252504821243,1.96786675,3.53021075,7743.80286183427,1.00089033453846,"2.68 (0.4)"
"sigma_init_id[9]",0.826239455,0.189095459016555,0.45689485,1.197801,3731.3914981268,1.00128923663693,"0.83 (0.19)"
"sigma_init_id[10]",0.288183010702087,0.13637714430829,0.0280049425,0.54783585,2391.93893285192,1.0017175598197,"0.29 (0.14)"
"sigma_init_id[11]",0.4988943758,0.0831779475728654,0.34245855,0.6698787,5076.21594791466,1.00037991551143,"0.5 (0.08)"
"sigma_init_id[12]",0.357965090809333,0.139545169020339,0.0526976225000001,0.61012255,2425.10919145936,1.00088437705134,"0.36 (0.14)"
"sigma_init_id[13]",0.333585793492,0.178032579002376,0.02328323,0.680183725,2730.90509998239,1.00024773578901,"0.33 (0.18)"
"sigma_init_id[14]",0.400143823147833,0.151123291873512,0.058925985,0.6725005,1597.84579900238,1.00160301337272,"0.4 (0.15)"
"sigma_init_id[15]",0.578146028613333,0.129399955132469,0.317091225,0.82608965,4415.03248983374,1.00019645806345,"0.58 (0.13)"
"sigma_init_id[16]",0.456029138313333,0.103072897297967,0.249477525,0.6543895,4706.65184166192,1.00086387911682,"0.46 (0.1)"
"sigma_init_id[17]",0.380844737953333,0.0823355030312013,0.2177504,0.5413969,3623.75231343965,1.0004086393769,"0.38 (0.08)"
"sigma_init_id[18]",0.747759650733333,0.118173502996497,0.528864325,0.989260925,6738.42118149359,1.0002891124985,"0.75 (0.12)"
"sigma_recp_id[1]",2.07096339533333,0.271301321058435,1.58937675,2.65583075,4990.75831175821,0.999919472488476,"2.07 (0.27)"
"sigma_recp_id[2]",0.38557590698,0.0772548117955426,0.232399175,0.537265325,5723.78701628981,1.00011253119749,"0.39 (0.08)"
"sigma_recp_id[3]",0.262066912447733,0.127801544651357,0.0198043725,0.497827025,2596.37899153804,1.00032349546757,"0.26 (0.13)"
"sigma_recp_id[4]",0.259507089224,0.0655935041811388,0.121219625,0.37981965,3270.43220944966,1.00058524182103,"0.26 (0.07)"
"sigma_recp_id[5]",0.212631616494855,0.158215595795365,0.00823847250000002,0.579030575,5921.60309635587,1.00032454431279,"0.21 (0.16)"
"sigma_recp_id[6]",0.396371982873333,0.0887482066041807,0.219634925,0.567420225,5354.63651888265,1.00001995530552,"0.4 (0.09)"
"sigma_recp_id[7]",0.815891283666667,0.126411792074388,0.586536275,1.07846075,6375.25207426382,1.00037680489287,"0.82 (0.13)"
"sigma_recp_id[8]",0.393618742780849,0.299404990943151,0.01483142,1.101772,5404.67182759366,1.00046296524887,"0.39 (0.3)"
"sigma_recp_id[9]",0.583860485199333,0.197642073352807,0.13631875,0.9455883,2725.27917501982,1.00049824313249,"0.58 (0.2)"
"sigma_recp_id[10]",0.25994108456016,0.141708632534371,0.0153120075,0.538483025,2375.19445741146,1.00082698937976,"0.26 (0.14)"
"sigma_recp_id[11]",0.195208401600927,0.0987416557630684,0.0120281125,0.381525025,2622.95483370976,1.00290084820004,"0.2 (0.1)"
"sigma_recp_id[12]",0.46688368614,0.117185284444753,0.23177025,0.693838575,5164.05691272894,1.00016593097499,"0.47 (0.12)"
"sigma_recp_id[13]",0.7261445172,0.138440364964179,0.46580365,1.009721,6817.53297677137,1.00041618894356,"0.73 (0.14)"
"sigma_recp_id[14]",0.167363662059013,0.114725336120402,0.00634342625,0.4232415,3693.6329399249,1.00042840013643,"0.17 (0.11)"
"sigma_recp_id[15]",0.289752879461587,0.152968381432814,0.01971891,0.584425275,2879.85630521413,1.00111918918836,"0.29 (0.15)"
"sigma_recp_id[16]",0.2775573925482,0.13215416361162,0.0232390375,0.5210131,2530.22208917678,1.00093528986253,"0.28 (0.13)"
"sigma_recp_id[17]",0.318361358859333,0.0804340418255223,0.151562975,0.467492675,3943.29845979977,1.00026702609515,"0.32 (0.08)"
"sigma_recp_id[18]",0.337485015012067,0.156492468453055,0.02925754,0.628310075,2140.29166473873,1.0024821162165,"0.34 (0.16)"
