"","mean","sd","2.5%","97.5%","n_eff","Rhat4","combined"
"z_init_id[11,93]",-0.0372360898492267,0.951073553431531,-1.90887375,1.833292,19507.3271601778,1.00003939469643,"-0.037 (0.951)"
"z_init_id[11,94]",-0.082362599288,0.97988741233583,-1.996553,1.83412125,20835.0788146382,0.999868642139791,"-0.082 (0.98)"
"z_init_id[11,95]",-0.04098763416132,0.984840442996257,-1.98555525,1.90551975,25631.4733599943,0.9998726191968,"-0.041 (0.985)"
"z_init_id[11,96]",0.0138220182221133,0.943469159512876,-1.8489435,1.82585875,17629.122191826,0.999861599397818,"0.014 (0.943)"
"z_init_id[11,97]",0.409972497462033,0.980916408775776,-1.4983505,2.3107945,13935.4158935117,1.00012560504607,"0.41 (0.981)"
"z_init_id[11,98]",-0.0140960940621533,0.95740540893213,-1.89014275,1.8703125,19312.9813854652,0.999920552469535,"-0.014 (0.957)"
"z_init_id[11,99]",0.0544667425659667,0.963167769983411,-1.8575,1.94202925,22462.564761688,0.999901664121451,"0.054 (0.963)"
"z_init_id[11,100]",-0.243470044763547,1.00744554551504,-2.20068975,1.754337,12697.3267934554,1.00016380812866,"-0.243 (1.007)"
"z_init_id[11,101]",-0.01115572663696,0.93143720964866,-1.8652225,1.830215,21929.5963113783,0.999927058810542,"-0.011 (0.931)"
"z_init_id[11,102]",0.160026387644953,0.980857497710386,-1.780039,2.073605,19561.1473459213,0.999937269108327,"0.16 (0.981)"
"z_init_id[11,103]",0.0209183948399733,0.975449640832689,-1.87897275,1.945224,16658.8446661918,0.999907096683796,"0.021 (0.975)"
"z_init_id[11,104]",0.12276098186032,1.01014713198125,-1.8256985,2.077709,22928.2415553339,1.00000878426139,"0.123 (1.01)"
"z_init_id[11,105]",0.0264056626063533,0.990871728751249,-1.914536,1.97143025,19833.2099653245,0.999922051716335,"0.026 (0.991)"
"z_init_id[11,106]",-0.0202168997782,1.00721844629806,-2.00990825,1.9506425,24219.1805658209,0.999853826988972,"-0.02 (1.007)"
"z_init_id[11,107]",-0.0759169239578,1.0039904307972,-2.0287405,1.91462125,16332.0317479689,0.999978715511835,"-0.076 (1.004)"
"z_init_id[11,108]",0.286491772983237,0.966900517762216,-1.59848125,2.1931505,17193.0295073519,0.999931387841573,"0.286 (0.967)"
